track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
4sdNDcYfiGIOB5eXvTZb0x,Keepin it Real,5BO8aIDUyNtvnq98qMIs85,Mack Wilds,0pBF3BXIBvjoSzoYXbwpji,182626,2013-09-27,19,0.53,0.726,1,-4.082,1,0.173,0.244,0.000104,0.105,0.716,175.736,4sdNDcYfiGIOB5eXvTZb0x,4sdNDcYfiGIOB5eXvTZb0x
1yEwEiTpsaPhQi9lb5EVV4,Knee Deep (feat. Jimmy Buffett),6yJCxee7QumYr820xdIsjo,Zac Brown Band,0AXoQGOZDaYSaOo0qCTiCr,203173,2010-09-20,5,0.715,0.584,8,-8.231,1,0.0296,0.432,1.41e-06,0.095,0.61,90.987,1yEwEiTpsaPhQi9lb5EVV4,1yEwEiTpsaPhQi9lb5EVV4
60Ih7J2Q1o9shvMC2OAALu,Let's Dance to Joy Division,0Ya43ZKWHTKkAbkoJJkwIB,The Wombats,03403404Rwa4suo4nzYyUY,191293,2007-07-09,53,0.397,0.839,4,-6.674,1,0.102,0.00125,0.0,0.576,0.764,116.947,60Ih7J2Q1o9shvMC2OAALu,60Ih7J2Q1o9shvMC2OAALu
5rq2xtGUa01UpVZUAIO5d4,Letter To My Ex's,31HjiqargV4NAw4GZqUale,Ace Hood,64k1x2JZhoJoh9dyldECx4,298520,2011-01-01,17,0.444,0.773,11,-4.436,1,0.391,0.00216,0.0,0.348,0.146,177.022,5rq2xtGUa01UpVZUAIO5d4,5rq2xtGUa01UpVZUAIO5d4
0adYjvCkrxvamV0gE3T6dB,Life In Color,5Pwc4xIPtQLFEnJriah9YJ,OneRepublic,0G0vIGvVlJ3MtXunjqrbMY,202746,2013-03-26,0,0.425,0.905,9,-3.501,1,0.0627,0.000763,1.67e-06,0.087,0.295,126.838,0adYjvCkrxvamV0gE3T6dB,0adYjvCkrxvamV0gE3T6dB
3vlfgHt6MZTzuSPsDcSQ8b,Life's for the Living,0gadJ2b9A4SKsB1RFkBb66,Passenger,2sRnJq6dfXdqhIflBk0ve1,273560,2012-06-29,0,0.332,0.452,7,-7.787,1,0.0354,0.67,0.0,0.112,0.329,175.696,3vlfgHt6MZTzuSPsDcSQ8b,3vlfgHt6MZTzuSPsDcSQ8b
7ghv33Di3GLODGGsAjtenu,Mirage,7bXgB6jMjp9ATFy66eO08Z,Chris Brown,2E9F4HEuOKR9n0QEbVxBbl,257866,2013-10-23,0,0.648,0.783,1,-3.782,0,0.135,0.00548,0.0607,0.17,0.691,79.995,7ghv33Di3GLODGGsAjtenu,7ghv33Di3GLODGGsAjtenu
6fjAdBaWdHDhFrqEzzFYgu,Monique's Room (feat. Fred The Godson),5oNgAs7j5XcBMzWv3HAnHG,DJ Drama,5qpXengyG9MHYWsRHY8bbK,247120,2012-10-02,0,0.32,0.644,5,-5.147,0,0.117,0.0865,0.0,0.111,0.318,87.286,6fjAdBaWdHDhFrqEzzFYgu,6fjAdBaWdHDhFrqEzzFYgu
7AiENVyU1HoEpdq3F4VRVd,Not Meant to Be,74eX4C98E4FCrAMl39qRsJ,Theory of a Deadman,1fqibtpI0bwD73uQGeEnhn,214333,2009-06-12,39,0.421,0.832,1,-3.163,1,0.0346,0.00377,0.0,0.158,0.311,142.913,7AiENVyU1HoEpdq3F4VRVd,7AiENVyU1HoEpdq3F4VRVd
0zNbESoBnTTYHlWWdSnC5N,Nothing Lasts Forever,1uQXG73H5lbcxVXcCHSjZ5,Transit,4bp42H4RiZzuW4vTknn1TJ,161613,2013-04-02,27,0.559,0.894,6,-4.494,1,0.0755,0.253,0.255,0.398,0.777,109.999,0zNbESoBnTTYHlWWdSnC5N,0zNbESoBnTTYHlWWdSnC5N
7cBhzkTWSpHBGAiCZzSika,Nothing Left To Say / Rocks,53XhwfbYqKCa1cC15pYq2q,Imagine Dragons,6htgf3qv7vGcsdxLCDxKp8,536080,2012-09-04,46,0.267,0.79,0,-7.226,1,0.0472,0.12,4.59e-05,0.635,0.0623,108.033,7cBhzkTWSpHBGAiCZzSika,7cBhzkTWSpHBGAiCZzSika
1kviNZprgauxNMqPWgVtHN,On a Day,42vg2T0Xg9yPaAgogJzoQH,Atlas Genius,5Ix8zXCxsX8YCGAThyBVE8,207586,2013-02-19,24,0.62,0.726,11,-4.987,0,0.0523,0.000207,5.44e-06,0.0774,0.492,127.014,1kviNZprgauxNMqPWgVtHN,1kviNZprgauxNMqPWgVtHN
0curgC4npz47AK6LVcYA8e,P.I.M.P.,3q7HBObVc0L8jNeTe5Gofh,50 Cent,5LdDti4oskKSVspwcpDK5d,249666,2008-01-01,20,0.626,0.664,10,-6.247,0,0.377,0.0546,1.38e-05,0.0408,0.87,79.16,0curgC4npz47AK6LVcYA8e,0curgC4npz47AK6LVcYA8e
7kCUo87uGYk6xvI9mJ7XMC,Pimpin' All Over The World,3ipn9JLAPI5GUEo4y4jcoi,Ludacris,2GsumqODU7sQSMqthb2R0r,329626,2004-01-01,42,0.703,0.88,11,-4.059,1,0.247,0.265,0.0,0.132,0.78,92.306,7kCUo87uGYk6xvI9mJ7XMC,7kCUo87uGYk6xvI9mJ7XMC
5IYi9oiiwJJqhrQikuaBFa,Promising Promises,6z29S0IoiBJpSMP8plyCj7,Jon McLaughlin,3I5ovM9uP5tZjRJB6GywSq,284533,2012-05-22,0,0.485,0.802,5,-4.514,1,0.035,0.178,2.25e-06,0.375,0.133,87.054,5IYi9oiiwJJqhrQikuaBFa,5IYi9oiiwJJqhrQikuaBFa
5F94xbz85nE6wfZGHqOMCG,Puke,7dGJo4pcD2V6oG8kP0tJRR,Eminem,1kTlYbs28MXw7hwO0NLYif,247826,2004-11-12,53,0.763,0.783,4,-4.601,0,0.222,0.136,0.0,0.0412,0.529,81.975,5F94xbz85nE6wfZGHqOMCG,5F94xbz85nE6wfZGHqOMCG
4kTLpAbhuEGHAAdDjOIWaa,Pursuit Of Happiness (Nightmare),0fA0VVWsXO9YnASrzqfmYu,Kid Cudi,6oPPKtAwNNlkW4wwHfQDfM,295293,2009-01-01,66,0.627,0.589,0,-9.056,1,0.0405,0.497,7.05e-05,0.324,0.247,115.284,4kTLpAbhuEGHAAdDjOIWaa,4kTLpAbhuEGHAAdDjOIWaa
25IPG96ByE415T2LLYsoHj,"Return of The Mac (feat. P-Lo, Sage The Gemini)",2ZavqCJe7uqkRpISes0NFi,Iamsu!,3etSmJGeTLDs8GZlMbnqBB,223750,2013-07-09,24,0.816,0.702,1,-4.958,1,0.0318,0.239,0.0,0.636,0.612,95.982,25IPG96ByE415T2LLYsoHj,25IPG96ByE415T2LLYsoHj
