track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
3lRgzwd3g1TewI4zjgbh9V,Sensitivity,6MLDcHrNh4OqxDZAjMt5pt,Ralph Tresvant,59xCSAdPeDW21sCrkE6B6c,281333,1990-01-01,53,0.683,0.661,1,-12.823,1,0.0459,0.137,0.557,0.0772,0.707,96.956,3lRgzwd3g1TewI4zjgbh9V,3lRgzwd3g1TewI4zjgbh9V
40xz60ciGIpsRtDqRfPKBE,Rub You The Right Way,7oHzn7edwmrYClrPRINkbn,Johnny Gill,3VNcHyjMgpq2UQN5LTs4qC,332306,1990-01-01,50,0.66,0.873,10,-6.952,1,0.0461,0.0152,0.00324,0.331,0.864,111.872,40xz60ciGIpsRtDqRfPKBE,40xz60ciGIpsRtDqRfPKBE
36tOpYpo1omPwIab8ebEkW,Humpin' Around,62sPt3fswraiEPnKQpAbdE,Bobby Brown,6MBpIrXaNMdoTNrWchRpO7,378493,1992-08-24,51,0.71,0.8,1,-7.141,1,0.04,0.00223,0.211,0.0455,0.61,110.211,36tOpYpo1omPwIab8ebEkW,36tOpYpo1omPwIab8ebEkW
47uDHNJpq4zUfOM0RFdEbV,Do Me!,2zFZiWQJFFshzojycnXoTL,Bell Biv DeVoe,3Fa7c5eB1TiAhoyhS4ReNi,272426,1990-03-20,46,0.714,0.735,7,-8.03,1,0.0373,0.0179,1.56e-05,0.238,0.704,107.822,47uDHNJpq4zUfOM0RFdEbV,47uDHNJpq4zUfOM0RFdEbV
6x53SJOV1PAZ8ZUwH4NFXQ,Knockin' da Boots,21gGD9dUby5ls0belA1wqZ,H-Town,1XXRMULRjSHEmWNxk9G1Cd,330945,1993-01-28,62,0.726,0.501,1,-13.884,0,0.154,0.155,0.0,0.0893,0.582,128.099,6x53SJOV1PAZ8ZUwH4NFXQ,6x53SJOV1PAZ8ZUwH4NFXQ
1Oi2zpmL81Q0yScF1zxaC0,"Bills, Bills, Bills",1Y8cdNmUJH7yBTd9yOvr5i,Destiny's Child,283NWqNsCA9GwVHrJk59CG,256026,1999-07-27,66,0.845,0.576,11,-5.15,0,0.153,0.139,0.0,0.0764,0.461,127.641,1Oi2zpmL81Q0yScF1zxaC0,1Oi2zpmL81Q0yScF1zxaC0
5u3rsmRYRSKJpFHXPT4p07,Every Little Thing I Do,296LotOmbj7eOX7r9l46fK,Soul For Real,0GmC4fd7RwxsFoo5Ht4nKp,260066,1995,58,0.713,0.378,7,-9.04,0,0.0298,0.00561,0.00186,0.0845,0.291,99.055,5u3rsmRYRSKJpFHXPT4p07,5u3rsmRYRSKJpFHXPT4p07
3RNvMhYFEwpCgPnDGKR5MB,Cry For You,1eNkUXHPaXyuyC8NAgzykK,Jodeci,41pgxrq2gjdSsGnqofrHGj,300906,1993-12-21,56,0.65,0.496,5,-12.349,0,0.0331,0.305,0.0,0.33,0.576,115.775,3RNvMhYFEwpCgPnDGKR5MB,3RNvMhYFEwpCgPnDGKR5MB
5u3FywQOPJ5O7ZAjm31cnq,Right Here - Human Nature Radio Mix,2NmK5FyrQ18HOPXq1UBzqa,SWV,5mfslBbxkZtxhSfnB2u2Gj,226800,1992,63,0.601,0.74,9,-5.043,0,0.0573,0.0299,0.332,0.0937,0.672,94.013,5u3FywQOPJ5O7ZAjm31cnq,5u3FywQOPJ5O7ZAjm31cnq
3upCmUgdchN3u0vkedbC5S,Touch It,7peqq4aACFkBwIWGG0YRJ9,Monifah,1jTqD4utNazxT97NBcIL7G,285826,1998-01-01,52,0.863,0.476,8,-10.019,0,0.0932,0.0307,0.0515,0.0706,0.783,115.459,3upCmUgdchN3u0vkedbC5S,3upCmUgdchN3u0vkedbC5S
