track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0E9ZjEAyAwOXZ7wJC0PD33,In My Mind,3v6Ji4uoWtKRkhuDUaxi9n,Dynoro,1c79SozES9Eb3Lzf9KVaIa,184560,2018-06-08,82,0.694,0.77,6,-5.335,1,0.149,0.176,1.1e-05,0.118,0.163,125.905
5bLYTndZBHgOzc6pzb8VBb,Ooh Aah,2xe5h8nbHc1yYGKUVL8zce,Púr Múdd,2ccPLJiMnWkjkTkThAwVBP,161216,2020-02-07,52,0.714,0.77,10,-6.596,1,0.0384,0.00882,0.00012,0.117,0.379,123.001
2TPPeayannCIxAcfbYKClP,I Would,6Arl3j3AWhEhirLx3kCyJe,CHASELAVISH,3KeQpeA7k8ENkWXxR680y4,184783,2019-09-06,31,0.68,0.725,2,-6.823,0,0.0747,0.14,0.0,0.281,0.648,102.062
4eYkf5680GiSIw4WpYOQxX,Nextel,0KdM0f9BzAkPzHFxxnn2tS,GT_Ofice,04WROorM1ZFetCqcDvlRtS,123840,2020-06-19,47,0.807,0.727,0,-5.546,1,0.066,0.000179,0.778,0.0996,0.978,125.02
6TnWWh46UZccEWwC51QkBG,Blurry,7GUUdfsMChpl10R2BkJEo4,Chris Waters,3J9dUIKqjJ4zKb5zBPMwmI,206333,2020-06-05,35,0.571,0.574,7,-10.377,0,0.11,0.176,0.0,0.483,0.307,89.939
65M9PAYF23vSHVmyvuPsPq,Paradise,0ODkUSyC9qhputGEbAIf6p,Erik Frank,5w3app9uYtKZFRy1XOmYUt,143538,2020-02-14,48,0.827,0.639,0,-3.0,1,0.085,0.571,0.0,0.132,0.866,130.108
5bigED7Z281jUldnisPTXT,Understand,6ZIZTVBwbAcLVOfcsSsb9Y,Max Valentine,23ehIeyJl31eQQaV42czuC,170232,2020-08-10,27,0.767,0.322,4,-12.988,1,0.0702,0.918,1.09e-05,0.356,0.723,128.873
7FNf2WOOaJ1Bx6wrjqhCba,Cruel,3PlRvQnVE3XAbtHUNc4nic,GATTÜSO,01fIJhjWikBCQ8iMSapF30,191612,2020-08-14,54,0.71,0.839,7,-4.647,1,0.0413,0.0127,0.000214,0.0735,0.327,123.998
06na1NBXCSWEALelDgAaat,Impulso,5KsWVSMrvgdagOI298HEil,JAB the ZORRO,7vHrigaEorC9uQKImVAom0,175170,2020-08-07,28,0.872,0.715,5,-4.48,0,0.211,0.129,0.00018,0.287,0.89,96.946
3h7Ftxcsch5Vf9gudChXCR,Yeehaw,09JJrjk6Mr5ZYwk1mk7aEb,Love Harder,42iCh9VeEuvdweymnrZydN,146433,2020-08-28,47,0.908,0.442,7,-6.702,1,0.0505,0.122,0.00396,0.149,0.557,123.992
0ThNoAuEAIFmlfvXOrMBoQ,built 2 break,1ePVqRHwkjRf7y2XRyHE2p,Free Arlo,6BA9NBijoHVrVqGAcgM7yj,164347,2020-01-24,19,0.465,0.477,9,-6.978,1,0.126,0.0244,0.0,0.119,0.458,183.722
0Va6dsBONDywXUn8AmFIVu,Marshmallow Skies,0CqHBuj2OQsfCa7wCtkdOU,Mört,7fIUVx9IWS9X5dgqAHGSUF,238242,2020-09-17,14,0.7,0.701,10,-8.159,0,0.0459,0.376,1.57e-05,0.0823,0.47,149.998
3b3ZXpFFDAj6mZUbYxoyEH,Свет фиолетовый,1m1sh0cJhGCcL9osqdAePj,Саша Эскобар,7vhni2uq3VfXrj6ZQIB2nH,222130,2020-09-04,47,0.663,0.785,8,-5.728,0,0.166,0.0589,0.0,0.0861,0.532,119.91
7iP1pchDLsqLdgQw91gBgd,Chase For Your Love,4d6YHAU5cDfBZzoVOujzsX,Askling,6epufsHombDRBEVJxisCKT,173449,2020-06-12,27,0.728,0.557,4,-7.278,0,0.0625,0.215,0.0,0.106,0.688,99.944
3YykTavXvEYywYJFZIngbT,Told You So,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,3yqqiZBVUxHjTiP0vKArxC,146355,2020-01-31,57,0.699,0.813,1,-4.177,1,0.112,0.0391,0.0,0.145,0.263,100.098
1DwdL6KG9Sl6ZmD4Ikvh6k,On Me,2pobDPwk9fuzujz5YKKAVB,Jada,08RfPjwHwDoZUAO2Gehsw5,177281,2020-09-25,54,0.477,0.596,4,-3.832,0,0.206,0.216,0.0,0.279,0.703,190.201
7bgz8auLPA7PesBhDHY1vW,By Your Side,6lB8vOoI4DRrrVxXwuV19c,Mike Perry,6fvuV3mI9SUO2HM7QmHMJg,155121,2020-09-25,59,0.637,0.813,7,-5.199,1,0.0544,0.0289,0.0,0.0906,0.429,122.963
6Larp0dGABAJJXNBubtRJZ,Till I'm Sorry,1piphEAgIy2kiwih2Q9zbF,Belmin Kuburas,4CRaXcb1XU0eTHECEZHqnS,146969,2020-05-29,34,0.684,0.841,6,-4.747,0,0.0574,0.0195,1.04e-05,0.206,0.67,123.96
